"Stockholm","Stockholm","59.3294","18.0686","Sweden","SE","SWE","Stockholm","primary","1611776","1752425602"
"Gothenburg","Gothenburg","57.7075","11.9675","Sweden","SE","SWE","Västra Götaland","admin","607882","1752059374"
"Malmö","Malmo","55.6058","13.0358","Sweden","SE","SWE","Skåne","admin","351749","1752705818"
"Uppsala","Uppsala","59.8581","17.6447","Sweden","SE","SWE","Uppsala","admin","166698","1752953686"
"Norrköping","Norrkoping","58.6000","16.2000","Sweden","SE","SWE","Östergötland","minor","137326","1752803583"
"Uppsala","Uppsala","59.8601","17.6400","Sweden","SE","SWE","Stockholm","","133117","1752330831"
"Västerås","Vasteras","59.6161","16.5528","Sweden","SE","SWE","Västmanland","admin","128660","1752826955"
"Örebro","Orebro","59.2739","15.2075","Sweden","SE","SWE","Örebro","admin","126604","1752223019"
"Linköping","Linkoping","58.4158","15.6253","Sweden","SE","SWE","Östergötland","admin","115682","1752963378"
"Helsingborg","Helsingborg","56.0500","12.7167","Sweden","SE","SWE","Skåne","minor","113828","1752789933"
"Jönköping","Jonkoping","57.7828","14.1606","Sweden","SE","SWE","Jönköping","admin","112766","1752079041"
"Vimmerby","Vimmerby","57.6667","15.8500","Sweden","SE","SWE","Kalmar","minor","100934","1752144282"
"Gävle","Gavle","60.6747","17.1417","Sweden","SE","SWE","Gävleborg","admin","96969","1752586931"
"Umeå","Umea","63.8250","20.2639","Sweden","SE","SWE","Västerbotten","admin","91916","1752273881"
"Karlstad","Karlstad","59.3783","13.5042","Sweden","SE","SWE","Värmland","admin","74141","1752502445"
"Halmstad","Halmstad","56.6739","12.8572","Sweden","SE","SWE","Halland","admin","71422","1752392511"
"Eskilstuna","Eskilstuna","59.3708","16.5097","Sweden","SE","SWE","Södermanland","minor","67359","1752784934"
"Karlskrona","Karlskrona","56.1608","15.5861","Sweden","SE","SWE","Blekinge","admin","66675","1752316086"
"Växjö","Vaxjo","56.8769","14.8092","Sweden","SE","SWE","Kronoberg","admin","66275","1752263370"
"Täby","Taby","59.4333","18.0833","Sweden","SE","SWE","Stockholm","minor","65364","1752810519"
"Upplands Väsby","Upplands Vasby","59.5167","17.9167","Sweden","SE","SWE","Stockholm","minor","48907","1752271400"
"Östersund","Ostersund","63.1792","14.6358","Sweden","SE","SWE","Jämtland","admin","49806","1752026711"
"Luleå","Lulea","65.5844","22.1539","Sweden","SE","SWE","Norrbotten","admin","49123","1752765449"
"Trelleborg","Trelleborg","55.3667","13.1667","Sweden","SE","SWE","Skåne","minor","43359","1752823325"
"Kalmar","Kalmar","56.6614","16.3628","Sweden","SE","SWE","Kalmar","admin","41852","1752640618"
"Tumba","Tumba","59.2000","17.8167","Sweden","SE","SWE","Stockholm","minor","37852","1752693397"
"Nyköping","Nykoping","58.7531","17.0086","Sweden","SE","SWE","Södermanland","admin","38780","1752377083"
"Falun","Falun","60.6072","15.6311","Sweden","SE","SWE","Dalarna","admin","37291","1752939220"
"Lidingö","Lidingo","59.3667","18.1500","Sweden","SE","SWE","Stockholm","minor","31561","1752051674"
"Ystad","Ystad","55.4167","13.8333","Sweden","SE","SWE","Skåne","minor","28985","1752657171"
"Visby","Visby","57.6290","18.3071","Sweden","SE","SWE","Gotland","admin","24951","1752027172"
"Huskvarna","Huskvarna","57.7919","14.2756","Sweden","SE","SWE","Jönköping","","22000","1752552539"
"Härnösand","Harnosand","62.6361","17.9411","Sweden","SE","SWE","Västernorrland","admin","18508","1752644953"
"Lomma","Lomma","55.6667","13.0833","Sweden","SE","SWE","Skåne","minor","13772","1752810659"
"Älta","Alta","59.2500","18.1833","Sweden","SE","SWE","Stockholm","","9989","1752413057"
"Brevik","Brevik","59.3500","18.2000","Sweden","SE","SWE","Stockholm","","8772","1752993223"
"Sundsvall","Sundsvall","62.4000","17.3167","Sweden","SE","SWE","Västernorrland","minor","99825","1752024232"
"Skellefteå","Skelleftea","64.7500","20.9500","Sweden","SE","SWE","Västerbotten","minor","74402","1752233025"
"Södertälje","Sodertalje","59.1958","17.6281","Sweden","SE","SWE","Stockholm","minor","72704","1752403970"
"Borås","Boras","57.7211","12.9403","Sweden","SE","SWE","Västra Götaland","minor","66273","1752555835"
"Trollhättan","Trollhattan","58.2828","12.2892","Sweden","SE","SWE","Västra Götaland","minor","59210","1752863731"
"Borlänge","Borlange","60.4856","15.4364","Sweden","SE","SWE","Dalarna","minor","44898","1752944924"
"Lidköping","Lidkoping","58.5000","13.1833","Sweden","SE","SWE","Västra Götaland","minor","40000","1752263259"
"Skövde","Skovde","58.3833","13.8500","Sweden","SE","SWE","Västra Götaland","minor","39580","1752316649"
"Alingsås","Alingsas","57.9300","12.5331","Sweden","SE","SWE","Västra Götaland","minor","38509","1752378437"
"Mölndal","Molndal","57.6500","12.0167","Sweden","SE","SWE","Västra Götaland","minor","37233","1752307790"
"Varberg","Varberg","57.1167","12.2167","Sweden","SE","SWE","Halland","minor","35782","1752538180"
"Västervik","Vastervik","57.7500","16.6333","Sweden","SE","SWE","Kalmar","minor","36747","1752051923"
"Uddevalla","Uddevalla","58.3500","11.9167","Sweden","SE","SWE","Västra Götaland","minor","34781","1752935117"
"Landskrona","Landskrona","55.8706","12.8311","Sweden","SE","SWE","Skåne","minor","33372","1752529229"
"Örnsköldsvik","Ornskoldsvik","63.2908","18.7156","Sweden","SE","SWE","Västernorrland","minor","32953","1752250773"
"Kävlinge","Kavlinge","55.7939","13.1133","Sweden","SE","SWE","Skåne","minor","32341","1752983535"
"Kristianstad","Kristianstad","56.0337","14.1333","Sweden","SE","SWE","Skåne","minor","32188","1752606470"
"Motala","Motala","58.5333","15.0333","Sweden","SE","SWE","Östergötland","minor","29823","1752105097"
"Vallentuna","Vallentuna","59.5333","18.0833","Sweden","SE","SWE","Stockholm","minor","29519","1752629377"
"Falkenberg","Falkenberg","56.9053","12.4911","Sweden","SE","SWE","Halland","minor","27813","1752455040"
"Åkersberga","Akersberga","59.4833","18.3000","Sweden","SE","SWE","Stockholm","minor","28033","1752878685"
"Karlskoga","Karlskoga","59.3333","14.5167","Sweden","SE","SWE","Örebro","minor","27562","1752529628"
"Märsta","Marsta","59.6167","17.8500","Sweden","SE","SWE","Stockholm","minor","27034","1752183604"
